"","Date","EP2","Comments"
"1",2022-01-01,21.59,NA
"2",2022-01-02,16.764,NA
"3",2022-01-03,4.318,NA
"4",2022-01-04,0.254,NA
"5",2022-01-05,3.81,NA
"6",2022-01-06,6.35,NA
"7",2022-01-07,1.524,NA
"8",2022-01-08,0,NA
"9",2022-01-09,0,NA
"10",2022-01-10,0,NA
"11",2022-01-11,25.908,NA
"12",2022-01-12,0,NA
"13",2022-01-13,16.256,NA
"14",2022-01-14,0,NA
"15",2022-01-15,16.764,NA
"16",2022-01-16,0,NA
"17",2022-01-17,0,NA
"18",2022-01-18,7.62,NA
"19",2022-01-19,0,NA
"20",2022-01-20,0,NA
"21",2022-01-21,2.794,NA
"22",2022-01-22,0,NA
"23",2022-01-23,0,NA
"24",2022-01-24,0,NA
"25",2022-01-25,0,NA
"26",2022-01-26,0,NA
"27",2022-01-27,39.37,NA
"28",2022-01-28,4.572,NA
"29",2022-01-29,4.826,NA
"30",2022-01-30,0,NA
"31",2022-01-31,0,NA
"32",2022-02-01,0,NA
"33",2022-02-02,0,NA
"34",2022-02-03,0,NA
"35",2022-02-04,0,NA
"36",2022-02-05,0,NA
"37",2022-02-06,0,NA
"38",2022-02-07,0,NA
"39",2022-02-08,0,NA
"40",2022-02-09,0,NA
"41",2022-02-10,0,NA
"42",2022-02-11,0,NA
"43",2022-02-12,0.762,NA
"44",2022-02-13,0,NA
"45",2022-02-14,1.27,NA
"46",2022-02-15,1.27,NA
"47",2022-02-16,0,NA
"48",2022-02-17,0,NA
"49",2022-02-18,0,NA
"50",2022-02-19,0,NA
"51",2022-02-20,0.254,NA
"52",2022-02-21,4.572,NA
"53",2022-02-22,14.478,NA
"54",2022-02-23,0,NA
"55",2022-02-24,0,NA
"56",2022-02-25,0,NA
"57",2022-02-26,0,NA
"58",2022-02-27,0.254,NA
"59",2022-02-28,5.334,NA
"60",2022-03-01,0,NA
"61",2022-03-02,0,NA
"62",2022-03-03,1.27,NA
"63",2022-03-04,28.956,NA
"64",2022-03-05,1.016,NA
"65",2022-03-06,19.05,NA
"66",2022-03-07,0,NA
"67",2022-03-08,0,NA
"68",2022-03-09,0.508,NA
"69",2022-03-10,10.922,NA
"70",2022-03-11,0,NA
"71",2022-03-12,1.524,NA
"72",2022-03-13,0,NA
"73",2022-03-14,0,NA
"74",2022-03-15,73.66,NA
"75",2022-03-16,36.068,NA
"76",2022-03-17,5.334,NA
"77",2022-03-18,2.794,NA
"78",2022-03-19,4.572,NA
