"","Units","date","elev_mean","Dist_fromLast","Dist_toNext","contr_max_km2","SENTmndwi_mean"
"1",0,"12/07/2022",769.375,NA,3966.879747,0.20796875,-0.261088854
"2",0,"05/09/2022",769.375,NA,3966.879747,0.20796875,-0.304901318
"3",0,"31/08/2022",769.375,NA,3966.879747,0.20796875,-0.296157818
"4",0,"05/10/2022",769.375,NA,3966.879747,0.20796875,-0.310738515
"5",0,"20/09/2022",769.375,NA,3966.879747,0.20796875,-0.31308259
"6",0,"22/07/2022",769.375,NA,3966.879747,0.20796875,-0.284269696
"7",0,"01/08/2022",769.375,NA,3966.879747,0.20796875,-0.29425756
"8",0,"11/08/2022",769.375,NA,3966.879747,0.20796875,-0.283313347
"9",0,"21/08/2022",769.375,NA,3966.879747,0.20796875,-0.290673431
"10",0,"23/05/2022",769.375,NA,3966.879747,0.20796875,-0.241651816
"11",0,"27/06/2022",769.375,NA,3966.879747,0.20796875,-0.246776587702334
"12",0,"30/10/2022",769.375,NA,3966.879747,0.20796875,-0.309720534
"13",50,"05/09/2022",768.875,NA,3916.879747,0.209375,-0.302439372
"14",50,"12/07/2022",768.875,NA,3916.879747,0.209375,-0.259511256
"15",50,"11/08/2022",768.875,NA,3916.879747,0.209375,-0.279165624
"16",50,"22/07/2022",768.875,NA,3916.879747,0.209375,-0.282571993
"17",50,"01/08/2022",768.875,NA,3916.879747,0.209375,-0.292590543
"18",50,"27/06/2022",768.875,NA,3916.879747,0.209375,-0.241595924094126
"19",50,"20/09/2022",768.875,NA,3916.879747,0.209375,-0.310124946
"20",50,"23/05/2022",768.875,NA,3916.879747,0.209375,-0.235611909
"21",50,"31/08/2022",768.875,NA,3916.879747,0.209375,-0.294591382
"22",50,"21/08/2022",768.875,NA,3916.879747,0.209375,-0.288582325
"23",50,"30/10/2022",768.875,NA,3916.879747,0.209375,-0.305048059
"24",50,"05/10/2022",768.875,NA,3916.879747,0.209375,-0.309248073
"25",100,"01/08/2022",768.7777778,NA,3880.545318,0.23953125,-0.289170386
"26",100,"27/06/2022",768.7777778,NA,3880.545318,0.23953125,-0.240288548744642
"27",100,"11/08/2022",768.7777778,NA,3880.545318,0.23953125,-0.275257853
"28",100,"12/07/2022",768.7777778,NA,3880.545318,0.23953125,-0.256317218
"29",100,"22/07/2022",768.7777778,NA,3880.545318,0.23953125,-0.279257476
"30",100,"30/10/2022",768.7777778,NA,3880.545318,0.23953125,-0.302591928
"31",100,"05/09/2022",768.7777778,NA,3880.545318,0.23953125,-0.299972769
"32",100,"23/05/2022",768.7777778,NA,3880.545318,0.23953125,-0.233320679
"33",100,"05/10/2022",768.7777778,NA,3880.545318,0.23953125,-0.308018243
"34",100,"21/08/2022",768.7777778,NA,3880.545318,0.23953125,-0.286280269
"35",100,"20/09/2022",768.7777778,NA,3880.545318,0.23953125,-0.30782718
"36",100,"31/08/2022",768.7777778,NA,3880.545318,0.23953125,-0.292056612
"37",150,"05/09/2022",768.25,NA,3844.517728,0.2465625,-0.297759515
"38",150,"23/05/2022",768.25,NA,3844.517728,0.2465625,-0.231239255
"39",150,"22/07/2022",768.25,NA,3844.517728,0.2465625,-0.276008729
"40",150,"11/08/2022",768.25,NA,3844.517728,0.2465625,-0.272298129
"41",150,"27/06/2022",768.25,NA,3844.517728,0.2465625,-0.238889919994753
"42",150,"20/09/2022",768.25,NA,3844.517728,0.2465625,-0.305526489
"43",150,"01/08/2022",768.25,NA,3844.517728,0.2465625,-0.285401381
"44",150,"05/10/2022",768.25,NA,3844.517728,0.2465625,-0.306482022
"45",150,"12/07/2022",768.25,NA,3844.517728,0.2465625,-0.25337308
"46",150,"30/10/2022",768.25,NA,3844.517728,0.2465625,-0.302289072
"47",150,"21/08/2022",768.25,NA,3844.517728,0.2465625,-0.28538928
"48",150,"31/08/2022",768.25,NA,3844.517728,0.2465625,-0.290442438
"49",200,"27/06/2022",766.875,NA,3808.805683,0.25078125,-0.237774206679079
"50",200,"05/09/2022",766.875,NA,3808.805683,0.25078125,-0.299935088
"51",200,"22/07/2022",766.875,NA,3808.805683,0.25078125,-0.276762061
"52",200,"01/08/2022",766.875,NA,3808.805683,0.25078125,-0.286182186
"53",200,"23/05/2022",766.875,NA,3808.805683,0.25078125,-0.230489291
"54",200,"11/08/2022",766.875,NA,3808.805683,0.25078125,-0.272444854
"55",200,"20/09/2022",766.875,NA,3808.805683,0.25078125,-0.307147183
"56",200,"30/10/2022",766.875,NA,3808.805683,0.25078125,-0.303706731
"57",200,"12/07/2022",766.875,NA,3808.805683,0.25078125,-0.254830124
"58",200,"21/08/2022",766.875,NA,3808.805683,0.25078125,-0.287375005
"59",200,"05/10/2022",766.875,NA,3808.805683,0.25078125,-0.30878728
"60",200,"31/08/2022",766.875,NA,3808.805683,0.25078125,-0.29165361
"61",250,"27/06/2022",766.625,NA,3773.418144,0.2525,-0.236511865800077
"62",250,"01/08/2022",766.625,NA,3773.418144,0.2525,-0.288729822
"63",250,"11/08/2022",766.625,NA,3773.418144,0.2525,-0.275497744
"64",250,"22/07/2022",766.625,NA,3773.418144,0.2525,-0.277383982
"65",250,"05/09/2022",766.625,NA,3773.418144,0.2525,-0.302831751
"66",250,"23/05/2022",766.625,NA,3773.418144,0.2525,-0.229958611
"67",250,"21/08/2022",766.625,NA,3773.418144,0.2525,-0.289873201
"68",250,"30/10/2022",766.625,NA,3773.418144,0.2525,-0.306237926
"69",250,"20/09/2022",766.625,NA,3773.418144,0.2525,-0.310456581
"70",250,"05/10/2022",766.625,NA,3773.418144,0.2525,-0.311736956
"71",250,"31/08/2022",766.625,NA,3773.418144,0.2525,-0.293638255
"72",250,"12/07/2022",766.625,NA,3773.418144,0.2525,-0.257115112
"73",300,"21/08/2022",766.4444444,NA,3738.364325,0.25359375,-0.294674295
"74",300,"01/08/2022",766.4444444,NA,3738.364325,0.25359375,-0.294826814
"75",300,"12/07/2022",766.4444444,NA,3738.364325,0.25359375,-0.263707118
"76",300,"20/09/2022",766.4444444,NA,3738.364325,0.25359375,-0.315343514
"77",300,"22/07/2022",766.4444444,NA,3738.364325,0.25359375,-0.284077539
"78",300,"05/09/2022",766.4444444,NA,3738.364325,0.25359375,-0.307519033
"79",300,"11/08/2022",766.4444444,NA,3738.364325,0.25359375,-0.283822438
"80",300,"31/08/2022",766.4444444,NA,3738.364325,0.25359375,-0.298777533
"81",300,"30/10/2022",766.4444444,NA,3738.364325,0.25359375,-0.311001574
"82",300,"27/06/2022",766.4444444,NA,3738.364325,0.25359375,-0.242054801720839
"83",300,"05/10/2022",766.4444444,NA,3738.364325,0.25359375,-0.316160435
"84",300,"23/05/2022",766.4444444,NA,3738.364325,0.25359375,-0.236084554
"85",350,"01/08/2022",765.8888889,NA,3707.213421,0.264375,-0.295641771
"86",350,"30/10/2022",765.8888889,NA,3707.213421,0.264375,-0.310789966
"87",350,"22/07/2022",765.8888889,NA,3707.213421,0.264375,-0.284421475
"88",350,"05/09/2022",765.8888889,NA,3707.213421,0.264375,-0.307492147
"89",350,"21/08/2022",765.8888889,NA,3707.213421,0.264375,-0.293788536
"90",350,"27/06/2022",765.8888889,NA,3707.213421,0.264375,-0.244241626956795
"91",350,"05/10/2022",765.8888889,NA,3707.213421,0.264375,-0.316521048
"92",350,"11/08/2022",765.8888889,NA,3707.213421,0.264375,-0.287213271
"93",350,"31/08/2022",765.8888889,NA,3707.213421,0.264375,-0.29838573
"94",350,"12/07/2022",765.8888889,NA,3707.213421,0.264375,-0.26291693
"95",350,"20/09/2022",765.8888889,NA,3707.213421,0.264375,-0.315281745
"96",350,"23/05/2022",765.8888889,NA,3707.213421,0.264375,-0.239641333
"97",400,"01/08/2022",766,NA,3682.646131,0.26578125,-0.295927218
"98",400,"11/08/2022",766,NA,3682.646131,0.26578125,-0.286383804
"99",400,"30/10/2022",766,NA,3682.646131,0.26578125,-0.311716443
"100",400,"05/09/2022",766,NA,3682.646131,0.26578125,-0.307062096
"101",400,"22/07/2022",766,NA,3682.646131,0.26578125,-0.283787815
"102",400,"21/08/2022",766,NA,3682.646131,0.26578125,-0.293111488
"103",400,"05/10/2022",766,NA,3682.646131,0.26578125,-0.316726625
"104",400,"31/08/2022",766,NA,3682.646131,0.26578125,-0.298789414
"105",400,"12/07/2022",766,NA,3682.646131,0.26578125,-0.260262327
"106",400,"20/09/2022",766,NA,3682.646131,0.26578125,-0.314706415
"107",400,"27/06/2022",766,NA,3682.646131,0.26578125,-0.243882120773196
"108",400,"23/05/2022",766,NA,3682.646131,0.26578125,-0.238428045
"109",450,"22/07/2022",765.875,NA,3658.59718,0.2690625,-0.283382227
"110",450,"05/09/2022",765.875,NA,3658.59718,0.2690625,-0.308125881
"111",450,"20/09/2022",765.875,NA,3658.59718,0.2690625,-0.316014132
"112",450,"30/10/2022",765.875,NA,3658.59718,0.2690625,-0.314023228
"113",450,"11/08/2022",765.875,NA,3658.59718,0.2690625,-0.286310413
"114",450,"05/10/2022",765.875,NA,3658.59718,0.2690625,-0.318524627
"115",450,"21/08/2022",765.875,NA,3658.59718,0.2690625,-0.295479938
"116",450,"01/08/2022",765.875,NA,3658.59718,0.2690625,-0.295623366
"117",450,"27/06/2022",765.875,NA,3658.59718,0.2690625,-0.244742654941299
"118",450,"31/08/2022",765.875,NA,3658.59718,0.2690625,-0.301279436
"119",450,"23/05/2022",765.875,NA,3658.59718,0.2690625,-0.238519107
"120",450,"12/07/2022",765.875,NA,3658.59718,0.2690625,-0.260437204
"121",500,"01/08/2022",764.875,NA,3637.270248,0.26953125,-0.295150694
"122",500,"30/10/2022",764.875,NA,3637.270248,0.26953125,-0.315390236
"123",500,"11/08/2022",764.875,NA,3637.270248,0.26953125,-0.286986012
"124",500,"22/07/2022",764.875,NA,3637.270248,0.26953125,-0.282349575
"125",500,"05/10/2022",764.875,NA,3637.270248,0.26953125,-0.319951091
"126",500,"21/08/2022",764.875,NA,3637.270248,0.26953125,-0.297502743
"127",500,"12/07/2022",764.875,NA,3637.270248,0.26953125,-0.261141375
"128",500,"31/08/2022",764.875,NA,3637.270248,0.26953125,-0.302300713
"129",500,"05/09/2022",764.875,NA,3637.270248,0.26953125,-0.309411227
"130",500,"27/06/2022",764.875,NA,3637.270248,0.26953125,-0.245603371081473
"131",500,"23/05/2022",764.875,NA,3637.270248,0.26953125,-0.240540039
"132",500,"20/09/2022",764.875,NA,3637.270248,0.26953125,-0.316801044
"133",550,"21/08/2022",764.3333333,NA,3614.237654,0.408125,-0.298329396
"134",550,"05/09/2022",764.3333333,NA,3614.237654,0.408125,-0.309395242
"135",550,"12/07/2022",764.3333333,NA,3614.237654,0.408125,-0.263840295
"136",550,"01/08/2022",764.3333333,NA,3614.237654,0.408125,-0.29675016
"137",550,"22/07/2022",764.3333333,NA,3614.237654,0.408125,-0.284538695
"138",550,"05/10/2022",764.3333333,NA,3614.237654,0.408125,-0.31989932
"139",550,"31/08/2022",764.3333333,NA,3614.237654,0.408125,-0.303171063
"140",550,"23/05/2022",764.3333333,NA,3614.237654,0.408125,-0.242725708
"141",550,"27/06/2022",764.3333333,NA,3614.237654,0.408125,-0.248553418880933
"142",550,"30/10/2022",764.3333333,NA,3614.237654,0.408125,-0.316548438
"143",550,"11/08/2022",764.3333333,NA,3614.237654,0.408125,-0.287991158
"144",550,"20/09/2022",764.3333333,NA,3614.237654,0.408125,-0.317421033
"145",600,"27/06/2022",765.25,NA,3591.75339,0.4090625,-0.247633766478453
"146",600,"23/05/2022",765.25,NA,3591.75339,0.4090625,-0.241311991
"147",600,"11/08/2022",765.25,NA,3591.75339,0.4090625,-0.287029549
"148",600,"30/10/2022",765.25,NA,3591.75339,0.4090625,-0.315220159
"149",600,"05/10/2022",765.25,NA,3591.75339,0.4090625,-0.318253788
"150",600,"01/08/2022",765.25,NA,3591.75339,0.4090625,-0.295204581
"151",600,"22/07/2022",765.25,NA,3591.75339,0.4090625,-0.284351052
"152",600,"31/08/2022",765.25,NA,3591.75339,0.4090625,-0.301705919
"153",600,"20/09/2022",765.25,NA,3591.75339,0.4090625,-0.315810057
"154",600,"21/08/2022",765.25,NA,3591.75339,0.4090625,-0.296950687
"155",600,"05/09/2022",765.25,NA,3591.75339,0.4090625,-0.307846568
"156",600,"12/07/2022",765.25,NA,3591.75339,0.4090625,-0.26221477
"157",650,"23/05/2022",764.625,NA,3562.707152,0.40984375,-0.238044142
"158",650,"27/06/2022",764.625,NA,3562.707152,0.40984375,-0.243564837445051
"159",650,"20/09/2022",764.625,NA,3562.707152,0.40984375,-0.315533772
"160",650,"12/07/2022",764.625,NA,3562.707152,0.40984375,-0.257503303
"161",650,"30/10/2022",764.625,NA,3562.707152,0.40984375,-0.315916558
"162",650,"31/08/2022",764.625,NA,3562.707152,0.40984375,-0.301010055
"163",650,"05/10/2022",764.625,NA,3562.707152,0.40984375,-0.318351196
"164",650,"01/08/2022",764.625,NA,3562.707152,0.40984375,-0.290801064
"165",650,"11/08/2022",764.625,NA,3562.707152,0.40984375,-0.283656433
"166",650,"21/08/2022",764.625,NA,3562.707152,0.40984375,-0.295190619
"167",650,"22/07/2022",764.625,NA,3562.707152,0.40984375,-0.279739193
"168",650,"05/09/2022",764.625,NA,3562.707152,0.40984375,-0.306642052
"169",700,"20/09/2022",763.625,NA,3531.638283,0.4184375,-0.318182138
"170",700,"05/10/2022",763.625,NA,3531.638283,0.4184375,-0.321097036
"171",700,"23/05/2022",763.625,NA,3531.638283,0.4184375,-0.240039057
"172",700,"27/06/2022",763.625,NA,3531.638283,0.4184375,-0.243158939518506
"173",700,"22/07/2022",763.625,NA,3531.638283,0.4184375,-0.281157102
"174",700,"12/07/2022",763.625,NA,3531.638283,0.4184375,-0.259691753
"175",700,"11/08/2022",763.625,NA,3531.638283,0.4184375,-0.284006262
"176",700,"31/08/2022",763.625,NA,3531.638283,0.4184375,-0.302703684
"177",700,"01/08/2022",763.625,NA,3531.638283,0.4184375,-0.292598998
"178",700,"21/08/2022",763.625,NA,3531.638283,0.4184375,-0.297370621
"179",700,"05/09/2022",763.625,NA,3531.638283,0.4184375,-0.308708225
"180",700,"30/10/2022",763.625,NA,3531.638283,0.4184375,-0.320244784
"181",750,"20/09/2022",762.625,NA,3501.007752,0.4209375,-0.319878833
"182",750,"05/10/2022",762.625,NA,3501.007752,0.4209375,-0.323114428
"183",750,"01/08/2022",762.625,NA,3501.007752,0.4209375,-0.29808799
"184",750,"12/07/2022",762.625,NA,3501.007752,0.4209375,-0.262254198
"185",750,"11/08/2022",762.625,NA,3501.007752,0.4209375,-0.28766853
"186",750,"22/07/2022",762.625,NA,3501.007752,0.4209375,-0.283697053
"187",750,"31/08/2022",762.625,NA,3501.007752,0.4209375,-0.304662934
"188",750,"05/09/2022",762.625,NA,3501.007752,0.4209375,-0.311071202
"189",750,"27/06/2022",762.625,NA,3501.007752,0.4209375,-0.244411108203423
"190",750,"23/05/2022",762.625,NA,3501.007752,0.4209375,-0.241241567
"191",750,"30/10/2022",762.625,NA,3501.007752,0.4209375,-0.322343154
"192",750,"21/08/2022",762.625,NA,3501.007752,0.4209375,-0.299133048
"193",800,"01/08/2022",762.4444444,NA,3470.827164,0.4225,-0.295556325
"194",800,"11/08/2022",762.4444444,NA,3470.827164,0.4225,-0.284827306
"195",800,"22/07/2022",762.4444444,NA,3470.827164,0.4225,-0.280855761
"196",800,"12/07/2022",762.4444444,NA,3470.827164,0.4225,-0.259208333
"197",800,"05/09/2022",762.4444444,NA,3470.827164,0.4225,-0.308351787
"198",800,"23/05/2022",762.4444444,NA,3470.827164,0.4225,-0.2391898
"199",800,"27/06/2022",762.4444444,NA,3470.827164,0.4225,-0.242755379382666
"200",800,"20/09/2022",762.4444444,NA,3470.827164,0.4225,-0.317702976
"201",800,"21/08/2022",762.4444444,NA,3470.827164,0.4225,-0.295902198
"202",800,"05/10/2022",762.4444444,NA,3470.827164,0.4225,-0.320664898
"203",800,"30/10/2022",762.4444444,NA,3470.827164,0.4225,-0.320758683
"204",800,"31/08/2022",762.4444444,NA,3470.827164,0.4225,-0.302656619
"205",850,"01/08/2022",761.25,NA,3441.108358,0.461875,-0.292054113
"206",850,"27/06/2022",761.25,NA,3441.108358,0.461875,-0.241251628798775
"207",850,"05/09/2022",761.25,NA,3441.108358,0.461875,-0.306769854
"208",850,"30/10/2022",761.25,NA,3441.108358,0.461875,-0.31967862
"209",850,"12/07/2022",761.25,NA,3441.108358,0.461875,-0.257762155
"210",850,"11/08/2022",761.25,NA,3441.108358,0.461875,-0.281668723
"211",850,"22/07/2022",761.25,NA,3441.108358,0.461875,-0.278539207
"212",850,"23/05/2022",761.25,NA,3441.108358,0.461875,-0.236639862
"213",850,"21/08/2022",761.25,NA,3441.108358,0.461875,-0.294194988
"214",850,"05/10/2022",761.25,NA,3441.108358,0.461875,-0.319139446
"215",850,"31/08/2022",761.25,NA,3441.108358,0.461875,-0.300655129
"216",850,"20/09/2022",761.25,NA,3441.108358,0.461875,-0.316226843
"217",900,"11/08/2022",760.375,NA,3411.480963,0.480625,-0.28191764
"218",900,"01/08/2022",760.375,NA,3411.480963,0.480625,-0.291084057
"219",900,"05/10/2022",760.375,NA,3411.480963,0.480625,-0.320352403
"220",900,"12/07/2022",760.375,NA,3411.480963,0.480625,-0.258901962
"221",900,"22/07/2022",760.375,NA,3411.480963,0.480625,-0.277750677
"222",900,"21/08/2022",760.375,NA,3411.480963,0.480625,-0.293613325
"223",900,"20/09/2022",760.375,NA,3411.480963,0.480625,-0.316703751
"224",900,"05/09/2022",760.375,NA,3411.480963,0.480625,-0.307244576
"225",900,"23/05/2022",760.375,NA,3411.480963,0.480625,-0.235984067
"226",900,"30/10/2022",760.375,NA,3411.480963,0.480625,-0.321968572
"227",900,"31/08/2022",760.375,NA,3411.480963,0.480625,-0.300926372
"228",900,"27/06/2022",760.375,NA,3411.480963,0.480625,-0.24004909549004
"229",950,"21/08/2022",761.625,NA,3378.024887,0.48453125,-0.292110694
"230",950,"22/07/2022",761.625,NA,3378.024887,0.48453125,-0.275441494
"231",950,"05/10/2022",761.625,NA,3378.024887,0.48453125,-0.319576543
"232",950,"05/09/2022",761.625,NA,3378.024887,0.48453125,-0.304892841
"233",950,"01/08/2022",761.625,NA,3378.024887,0.48453125,-0.287243816
"234",950,"30/10/2022",761.625,NA,3378.024887,0.48453125,-0.321345557
"235",950,"27/06/2022",761.625,NA,3378.024887,0.48453125,-0.239467614927353
"236",950,"12/07/2022",761.625,NA,3378.024887,0.48453125,-0.257335872
"237",950,"20/09/2022",761.625,NA,3378.024887,0.48453125,-0.315519156
"238",950,"11/08/2022",761.625,NA,3378.024887,0.48453125,-0.281162474
"239",950,"23/05/2022",761.625,NA,3378.024887,0.48453125,-0.237281073
"240",950,"31/08/2022",761.625,NA,3378.024887,0.48453125,-0.298121047
"241",1000,"22/07/2022",762.375,NA,3344.981542,0.48546875,-0.275841617
"242",1000,"21/08/2022",762.375,NA,3344.981542,0.48546875,-0.293290932
"243",1000,"05/10/2022",762.375,NA,3344.981542,0.48546875,-0.32140975
"244",1000,"27/06/2022",762.375,NA,3344.981542,0.48546875,-0.241052196958126
