"","X","Units","Month","Section","WC","WC_int","elev_mean","slope_mean","contr_max_km2","stream_sum","recur_mean","occur_mean","ext_sum","Dist_fromLast","Dist_toNext","Dam","mapbio_maj","mb_forest_","mb_savan_m","mb_grass_m","mb_past_me","mb_agri_me","mb_water_m","mb_crops_m","acm30","api30","Level","Vol_hm3","dV_hm3","SENTndvi_mean","SENTndwi_mean","SENTswi_mean","SENTndmi_re_mean","SENTndmi_nir_mean","SENTmndwi_mean","dw_majorit","bare_freq","built_freq","crops_freq","flooded_freq","grass_freq","shrubs_freq","trees_freq","water_freq"
"1",3179,26450,6,"BN","Dry",1,564.83,0.01,117.71625,8,39.11111111,13.66666667,9,2336.451039,297.4535912,0,3,1,0,0,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.220992283,-0.192140431,-0.261957303,-0.051952238,-0.109960644,-0.296110856,5,0,0,0,0,0,1,0,0
"2",3185,26500,6,"BN","Dry",1,564.58,0.01,117.7284375,7,41,14.83333333,12,2369.915897,255.2301613,0,3,1,0,0,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.236608095,-0.200871937,-0.261073225,-0.038047746,-0.097164947,-0.292557735,5,0,0,0,0,0,0.848101266,0.151898734,0
"3",3191,26550,6,"BN","Dry",1,564.74,0.01,117.79,6,44.77777778,16,9,2409.621481,211.114881,0,3,1,0,0,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.261349644,-0.216907169,-0.244107276,-0.003727894,-0.060327222,-0.273762945,1,0,0,0,0,0,0.333333333,0.666666667,0
"4",3197,26600,6,"BN","Dry",1,565.15,0.02,117.793125,6,49.3,18.6,10,2454.104508,165.5557598,0,3,1,0,0,0,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.270114539,-0.224014763,-0.232346595,0.015184108,-0.040690086,-0.262416516,1,0,0,0,0,0,0,1,0
"5",3203,26650,6,"BN","Dry",1,564.02,0.01,117.805,6,49.55555556,21.11111111,9,2503.242065,116.6920113,0,3,0.777777778,0,0,0,0,0.222222222,0,77.978,5.041834104,441.84,5.57,-0.01,0.251605746,-0.213190338,-0.217065273,0.013855802,-0.039615271,-0.250698404,1,0,0,0,0,0,0,1,0
"6",3209,26700,6,"BN","Wet",4,562.77,0,117.8092188,7,66,31.4,10,0,0,1,33,0.222222222,0,0,0,0,0.777777778,0,77.978,5.041834104,441.84,5.57,-0.01,0.121552182,-0.098661081,-0.13836165,-0.021445988,-0.066314024,-0.163607371,1,0,0,0,0,0,0.166666667,0.461538462,0.371794872
"7",3215,26750,6,"BN","Wet",4,562.9,0,117.971875,7,61.33333333,29.55555556,6,0,0,1,33,0,0,0,0,0.222222222,0.777777778,0,77.978,5.041834104,441.84,5.57,-0.01,0.031570585,-0.003732338,-0.061359927,-0.029328732,-0.064035612,-0.067217486,0,0,0,0,0,0,0.146666667,0.026666667,0.826666667
"8",3221,26800,6,"BN","NotDet",2,563.87,0,117.9775,6,28.8,10,3,0,0,1,21,0.222222222,0,0,0,0.444444444,0.333333333,0,77.978,5.041834104,441.84,5.57,-0.01,0.176925538,-0.142787333,-0.144910319,0.024471871,-0.024747313,-0.167253828,1,0,0,0,0,0,0.15,0.475,0.375
"9",3227,26850,6,"BN","NotDet",2,564.92,0.01,117.9789063,6,0,0,0,83.28248153,1624.071861,0,3,0.555555556,0,0,0,0.444444444,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.332213459,-0.281410485,-0.219688419,0.091953494,0.034524307,-0.24967035,1,0,0,0,0,0,0.012658228,0.987341772,0
"10",3233,26900,6,"BN","Dry",1,564.72,0.01,118.1060938,6,0,0,0,133.2142028,1577.870528,0,3,0.5,0,0,0.25,0.25,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.359504718,-0.310110007,-0.229266488,0.108617237,0.050640924,-0.263703094,1,0,0,0,0,0,0,1,0
"11",3239,26950,6,"BN","Dry",1,564.19,0,118.1107813,7,0,0,0,183.1315738,1531.205028,0,15,0,0,0,1,0,0,0,77.978,5.041834104,441.84,5.57,-0.01,0.290811533,-0.26701362,-0.216898853,0.056826197,0.003141121,-0.264542097,1,0,0,0.076923077,0,0,0.397435897,0.525641026,0
"12",3245,27000,6,"BN","Dry",1,563.56,0,118.1148438,8,0,0,0,233.043292,1484.435881,0,15,0,0,0,0.888888889,0,0,0.111111111,77.978,5.041834104,441.84,5.57,-0.01,0.229985603,-0.216096353,-0.228962958,-0.012011179,-0.066908144,-0.279107363,5,0,0,0.155844156,0,0,0.792207792,0.051948052,0
